run_id,index,document,strategy,reason,split_points,input_tokens,output_tokens,latency_ms,model
DAX__BASF_Report_2023__20260624_141952,DAX,BASF_Report_2023,section,"The document is a structured annual report with a clear Table of Contents defining major thematic sections (To Our Shareholders, Combined Management's Report, Corporate Governance, Consolidated Financial Statements, Overviews). Splitting by these logical sections ensures cohesive data grouping for financial analysis and sustainability reporting.","[""To Our Shareholders"", ""Combined Management's Report"", ""Corporate Governance"", ""Consolidated Financial Statements"", ""Overviews""]",3270,121,6096.580879995599,UTM2
"Other__2024 Alibaba Group Environmental, Social and Governance Report-0809__20260624_142003",Other,"2024 Alibaba Group Environmental, Social and Governance Report-0809",section,"The document is a structured ESG report with a clear Table of Contents defining distinct thematic chapters (e.g., 'Restoring Our Green Planet', 'Fueling Small Businesses'). Splitting by these sections ensures each chunk contains a coherent topic and its associated data, which is superior to page-based splitting that might cut topics in half.","[""Our mission, our vision"", ""A letter from our CEO"", ""Instructions"", ""Business Overview"", ""Executive Summary"", ""Developing responsible technologies"", ""Providing markets, business capabilities, and ecosystems for MSMEs"", ""Building corporate trust"", ""Building social trust"", ""Solidly promoting carbon neutrality"", ""Conserving and restoring nature"", ""Restoring Our Green Planet"", ""Rural revitalization"", ""Social emergency response"", ""Leveraging technologies to tackle social problems"", ""Enabling inclusive employment"", ""Enhancing Community Inclusion and Resilience"", ""Promoting diversity, equity, and inclusion"", ""Attracting and retaining talents"", ""Enhancing employee health and vitality"", ""Supporting Our People"", ""Encouraging employees to participate in philanthropy"", ""Platforms driving philanthropy"", ""Collaborations making an impact"", ""Facilitating Participatory Philanthropy"", ""Diverse consumption"", ""Trustworthy consumption"", ""Inclusive consumption"", ""Responsible consumption"", ""Enabling a Sustainable Digital Life"", ""Appendices""]",2890,368,16193.510387034621,UTM2
Other__climate_action_report_2023__20260624_142018,Other,climate_action_report_2023,section,"The document is a structured corporate report with a clear table of contents defining distinct thematic sections (e.g., Progress overview, Decarbonisation strategy, Risks and governance). Splitting by section preserves the logical flow and context of each topic better than page-based or fixed-size splits.","[""Introduction"", ""Section 1 Progress overview"", ""Section 2 Our decarbonisation strategy"", ""Section 3 Our opportunities, risks and governance of climate change"", ""Section 4 Metrics"", ""Section 5 Technology"", ""Section 6 The bigger picture"", ""Appendix""]",2995,158,7360.170406987891,UTM2
Other__2019__20260624_142032,Other,2019,section,"The document is a structured sustainability report with a clear Table of Contents defining distinct thematic sections (e.g., Management, Eco-friendly, Competitive, Responsible). Splitting by these logical sections ensures coherent chunks of information rather than arbitrary page breaks.","[""Message from Top Management"", ""Our Commitment"", ""Connotation of Sustainable Development"", ""Eco-friendly Baosteel"", ""Competitive Baosteel"", ""Responsible Baosteel"", ""Urban Steel Mill"", ""Stakeholders Q&A"", ""Appendix""]",2810,149,7657.365847029723,UTM2
Other__hul-business-responsibility-sustainability-report-fy-2023-24__20260624_142038,Other,hul-business-responsibility-sustainability-report-fy-2023-24,section,"The document is a structured Business Responsibility and Sustainability Report (BRSR) with a clear Table of Contents defining distinct sections (Assurance Report, General Disclosure, Management Disclosures, and Principle-wise Performance). Splitting by these logical sections preserves the integrity of the report's regulatory structure.","[""Independent Practitioners' Reasonable and Limited Assurance Report"", ""Section A General disclosure"", ""Section B Management and process disclosures"", ""Section C Principle wise performance disclosure""]",2899,128,17079.8778149765,UTM2
Other__bp-sustainability-report-2023__20260624_142031,Other,bp-sustainability-report-2023,section,"The document follows a standard corporate sustainability report structure with a clear Table of Contents. The content is logically divided into major thematic sections (Introduction, Our Approach, Getting to Net Zero, Improving People's Lives, Caring for Our Planet, Engaging Stakeholders, Our Reporting) and further subdivided into specific numbered aims. Splitting by section ensures that related content remains together and aligns with the document's internal navigation.","[""Introduction"", ""Our approach"", ""Getting to net zero"", ""Improving people\u2019s lives"", ""Caring for our planet"", ""Engaging stakeholders"", ""Our reporting""]",3184,163,8394.963567028753,UTM2
Other__creating-shared-value-sustainability-report-2023-en__20260624_142049,Other,creating-shared-value-sustainability-report-2023-en,section,"The document is a structured sustainability report with a clear table of contents defining distinct thematic sections (e.g., Governance, Material Topics, Net Zero, Biodiversity). Splitting by section ensures that related content remains intact, unlike page-based splitting which would fragment these topics.","[""Chairman and CEO message"", ""Our business model and progress against commitments"", ""Governance"", ""Our material topics"", ""Stakeholder engagement"", ""On the road to net zero"", ""Restoring nature, protecting biodiversity"", ""Looking at the whole landscape"", ""More regenerative practices on farms"", ""Water stewardship"", ""Responsible sourcing"", ""Advancing human rights"", ""Packaging and circularity"", ""Supporting balanced and sustainable diets"", ""Food safety and quality"", ""Our diverse and inclusive culture"", ""Opportunities for young people"", ""An employer of choice"", ""The foundations of ethical business"", ""Community giving"", ""About this report"", ""Statutory Non-Financial Matter Report Index"", ""Child labor reporting Index"", ""TCFD Index"", ""Nestl\u00e9's 2023 Creating Shared Value and Sustainability key performance indicators""]",3340,308,56054.24250999931,UTM2
Other__en-sustainability-report-2023__20260624_142142,Other,en-sustainability-report-2023,section,"The document is a structured sustainability report with a clear table of contents and distinct thematic chapters (e.g., Foreword, Site Overview, Focus Topics, Key Figures). Splitting by section ensures that related content remains together and aligns with the logical flow of the report.","[""Foreword"", ""The site Rotkreuz"", ""Sustainability at Roche"", ""Focus topics"", ""Lived sustainability for over 15 years"", ""Community of practice for sustainability in instrument operations"", ""Treatment of industrial wastewater"", ""Key figures""]",3525,150,7539.707986987196,UTM2
Other__2022__20260624_142144,Other,2022,section,"The document is a Corporate Social Responsibility (CSR) Report with a clear Table of Contents and distinct thematic chapters (e.g., Governance, Economy, Green Finance, Social Welfare). Splitting by section ensures each major topic remains intact and logically grouped, which is superior to page-based splitting for this type of structured report.","[""Notes to the Report"", ""Concept of Responsibility"", ""A Word from the Secretary of the Party Committee and Chairman of SPD Bank"", ""A Word from the President"", ""Corporate Governance"", ""Risk and Compliance"", ""Safeguard the Economy and Build a Solid Ballast Stone for High-quality Development"", ""Work Ingeniously to Draw a New Blueprint for a Better Life"", ""Key Performance Indicators"", ""Independent Authentication Report"", ""Appendix""]",2701,203,9729.39866501838,UTM2
SP500__Sustainability_at_Bank_of_America_2024_Report__20260624_142217,SP500,Sustainability_at_Bank_of_America_2024_Report,section,"The document is a structured sustainability report with a clear Table of Contents defining major thematic sections (Governance, Strategy, Risk Management, Metrics). Splitting by section ensures logical coherence and keeps related content together, which is superior to page-based splitting for this type of report.","[""MESSAGE FROM THE CEO"", ""INTRODUCTION"", ""GOVERNANCE"", ""STRATEGY"", ""RISK MANAGEMENT"", ""METRICS AND TARGETS"", ""CONCLUSION AND LOOKING AHEAD"", ""INDEXES"", ""APPENDIX""]",2082,149,7685.153870028444,UTM2
SP500__2023__20260624_142208,SP500,2023,section,"The document is a corporate sustainability report with a clear hierarchical structure defined by major thematic pillars (Company, People & Community, Environment) and introductory sections (CEO Letter, Strategy, Governance). Splitting by these logical sections ensures that related content remains intact while separating distinct topics.","[""About our Sustainability Reporting"", ""Letter from the CEO"", ""Overview"", ""Our Sustainability Strategy"", ""Sustainability Governance"", ""Progress Toward Goals""]",3025,125,6006.677425000817,UTM2
Other__2023sr_en__20260624_142205,Other,2023sr_en,section,"The document is a structured ESG report with a clear Table of Contents on Page 2. Splitting by section titles ensures logical grouping of related content (e.g., Definitions, Chairman's Statement, Strategy, Operations) rather than arbitrary page breaks.","[""Definitions"", ""About this Report"", ""Chairman's Statement"", ""2023 ESG Highlights"", ""About the Company"", ""Featured Topic: Two Decades of Excellence, with an Unwavering Dedication to the Future"", ""Implementing Responsibility Management and Strengthening the Foundation of Governance"", ""Green Operations, Advocating Low Carbon Philosophy"", ""Value Sharing, Co-Creating Responsible Value Chain"", ""Quality as a Priority, Serving Healthy China"", ""Embracing Diversity and Equality, Upholding a Cohesive Workplace"", ""Appendix""]",2763,214,10469.67250999296,UTM2
Other__Samsung_Electronics_Sustainability_Report_2024_ENG__20260624_142203,Other,Samsung_Electronics_Sustainability_Report_2024_ENG,section,"The document is a structured sustainability report with a clear Table of Contents (Page 2) and distinct thematic sections (Our Company, Planet, People, Appendix) that align with ESG reporting frameworks. Splitting by section ensures logical grouping of related content.","[""Our Company"", ""Planet"", ""People"", ""Appendix""]",2888,88,5053.581548039801,UTM2
SP500__Apple_Environmental_Progress_Report_2024__20260624_142216,SP500,Apple_Environmental_Progress_Report_2024,section,"The document is a structured corporate report with a clear Table of Contents defining distinct thematic sections (e.g., 'Environmental Initiatives', 'Resources', 'Smarter Chemistry'). Splitting by section ensures that related data, goals, and narratives remain grouped together, preserving semantic integrity better than page-by-page or fixed-size splits.","[""Introduction"", ""Environmental Initiatives"", ""Resources"", ""Smarter Chemistry"", ""Engagement and Advocacy"", ""Data"", ""Appendix""]",3188,136,7318.2435859926045,UTM2
SP500__2023-advancing-climate-solutions-progress-report__20260624_142222,SP500,2023-advancing-climate-solutions-progress-report,section,"The document is a structured corporate progress report with a clear table of contents defining distinct thematic sections (e.g., Executive Summary, Strategic Priorities, Low Carbon Solutions, Metrics). Splitting by section ensures each logical topic remains intact for analysis.","[""Executive summary"", ""Our strategic priorities"", ""Progress toward net zero by 2050"", ""Positioning for a lower-emission future"", ""Understanding the role of scenarios and ExxonMobil\u2019s Outlook for Energy"", ""Testing resiliency under the IEA NZE Scenario"", ""Assessing potential impacts"", ""Signposts for the evolving energy transition"", ""Reducing portfolio life-cycle emissions and emissions intensity"", ""Our risk management approach"", ""Governance and executive compensation"", ""Investing approximately $17 billion to reduce emissions"", ""Low Carbon Solutions"", ""Driving methane emissions reductions"", ""Enabling emissions reductions with high-performance plastics and advanced recycling"", ""Our unique and sustained approach to R&D"", ""R&D Spotlight: Innovating across our value chain"", ""Advocating for essential policy support"", ""Metrics & targets"", ""Greenhouse gas emissions performance data"", ""Scope 3 emissions"", ""Climate Action 100+ Net Zero Company Benchmark"", ""Disclosures and glossary"", ""Footnotes"", ""Cautionary statement and supplemental information"", ""TCFD Alignment""]",4764,350,15808.47895896295,UTM2
SP500__Meta-2024-Sustainability-Report__20260624_142246,SP500,Meta-2024-Sustainability-Report,section,"The document follows a standard corporate report structure with a clear Table of Contents defining major thematic sections (Leadership messages, Executive summary, How we operate, What we create). Splitting by section preserves logical context for topics like 'Path to net zero' or 'Responsible AI' which span multiple pages.","[""Leadership messages"", ""Executive summary"", ""About Meta"", ""About this report"", ""Sustainability vision"", ""Goals and commitments"", ""How we operate"", ""Path to net zero"", ""Energy"", ""Data centers"", ""Climate risks and resilience"", ""Water"", ""Offices"", ""Responsible supply chain"", ""What we create"", ""Responsible AI"", ""AI for climate"", ""Climate insights"", ""Data index"", ""Forward-looking statements"", ""Environmental metrics"", ""Environmental methodology""]",2786,234,11920.075411966536,UTM2
SP500__Microsoft-2024-Environmental-Sustainability-Report__20260624_142247,SP500,Microsoft-2024-Environmental-Sustainability-Report,section,"The document follows a clear hierarchical structure with major thematic sections (Microsoft Sustainability, Customer Sustainability, Global Sustainability, Appendix) explicitly listed in the table of contents and page headers. Splitting by section ensures each major topic remains intact for analysis.","[""Microsoft sustainability"", ""Customer sustainability"", ""Global sustainability"", ""Appendix""]",2916,99,5106.9275320041925,UTM2
SP500__FY2024-NVIDIA-Corporate-Sustainability-Report__20260624_142300,SP500,FY2024-NVIDIA-Corporate-Sustainability-Report,section,"The document is a structured sustainability report with a clear Table of Contents defining major thematic sections (e.g., Message from CEO, Climate and Efficiency, People, Product Value Chain). Splitting by these section headers ensures logical grouping of related content.","[""Message From Our CEO"", ""Introduction"", ""Climate and Efficiency"", ""People, Diversity and Inclusion"", ""Product Value Chain"", ""Responsible Business"", ""Sustainability Indicators"", ""About This Report""]",2729,115,5699.524441035464,UTM2
SP500__google-2024-environmental-report__20260624_142246,SP500,google-2024-environmental-report,section,"The document is a structured corporate report with a clear Table of Contents and distinct thematic chapters (Introduction, Strategy, Highlights, Products, Operations, Appendix). Splitting by section title ensures logical grouping of related content.","[""Introduction"", ""Executive letter"", ""Our sustainability strategy"", ""2023 highlights"", ""Targets and progress summary"", ""Searching for sustainability"", ""AI for sustainability"", ""Our products"", ""Mitigation"", ""Adaptation and resilience"", ""Our operations"", ""Net-zero carbon"", ""Water stewardship"", ""Circular economy"", ""Nature and biodiversity"", ""Appendix"", ""About Google"", ""Sustainability governance"", ""Risk management"", ""Stakeholder engagement and partnership"", ""Multi-sector products"", ""Ecosystems for collaboration"", ""Environmental data"", ""Certifications"", ""Recognitions"", ""Endnotes""]",2990,192,10075.49757999368,UTM2
SP500__Pfizer_2023_Impact_Report_11MAR2024__20260624_142311,SP500,Pfizer_2023_Impact_Report_11MAR2024,section,"The document is a structured ESG report with a clear Table of Contents defining major thematic sections (Introduction, Governance, Social, Environment, Appendix). Splitting by section ensures logical grouping of related content and aligns with the report's internal navigation.","[""Introduction"", ""Governance"", ""Social"", ""Environment"", ""Appendix"", ""ESG Performance""]",2894,110,5213.646629999857,UTM2
SP500__ge2022_sustainability_report__20260624_142241,SP500,ge2022_sustainability_report,section,"The document is a corporate sustainability report with distinct thematic sections (Executive Highlights, Forward-Looking Statements, CEO Letter, and Business Pillars). Splitting by section preserves the logical flow of the narrative and separates legal disclaimers from strategic content, which is superior to page-based splitting for this type of document.","[""Page 1: Cover and Executive Highlights"", ""Page 3: Forward-Looking Statements and Non-GAAP Measures"", ""Page 3: Letter to Stakeholders"", ""Page 4: CEO Message and Business Pillars""]",2968,147,7282.483500021044,UTM2
SP500__Sysco%20FY24%20Sustainability%20Report__20260624_142330,SP500,Sysco%20FY24%20Sustainability%20Report,section,"The document is a structured sustainability report with a clear Table of Contents and distinct thematic pillars (Introduction, Products, People, Planet, Governance, Appendix). Splitting by section ensures logical grouping of related content and aligns with the report's intended navigation.","[""Introduction"", ""Products"", ""People"", ""Planet"", ""Governance"", ""Appendix""]",3028,110,5084.981859952677,UTM2
