query_id,perturbation_type,perturbation_level,ground_truth,llm_guess,llm_latency,prompt_tokens,completion_tokens,cost_usd
17601,numeric,1,B,B,4498.8512079871725,1132,2,0.0001717
16707,label,1,B,B,4707.8357500140555,1149,2,0.00017425
15623,char,1,B,B,4706.745917006629,1162,2,0.0001762
16708,label,1,C,A,4703.676541015739,773,2,0.00011784999999999999
17633,numeric,1,D,C,4701.445457991213,759,2,0.00011575
17626,numeric,1,C,C,4706.588750006631,1128,2,0.00017109999999999998
16709,label,1,D,D,4700.99879099871,1347,2,0.00020395
16710,label,1,A,A,4698.095583997201,1017,2,0.00015445
15625,char,1,D,B,4700.868083018577,772,2,0.0001177
17637,numeric,1,A,B,5820.361624995712,740,2,0.0001129
15627,char,1,A,A,4811.498458002461,801,2,0.00012205
15624,char,1,C,C,5827.112250000937,798,2,0.00012159999999999999
15628,char,1,B,B,4803.5890409955755,1042,2,0.0001582
17685,numeric,1,C,C,4802.142291999189,1205,2,0.00018265
16712,label,1,C,C,4801.370542001678,775,2,0.00011815000000000001
16094,char,1,C,C,4800.7449170108885,726,2,0.0001108
16711,label,1,B,B,4811.963915999513,1048,2,0.0001591
17655,numeric,1,B,B,4813.937375001842,870,2,0.0001324
16713,label,1,D,D,5927.109542011749,750,2,0.0001144
16099,char,1,D,D,4719.223917025374,670,2,0.00010240000000000001
16714,label,1,A,A,4713.014042004943,1141,2,0.00017305
17686,numeric,1,D,D,5930.45145898941,776,2,0.0001183
16715,label,1,B,B,4708.81912499317,629,2,9.625e-05
16532,char,1,A,D,4711.7587919929065,798,2,0.00012159999999999999
17688,numeric,1,B,B,4710.4527080082335,531,2,8.155e-05
17687,numeric,1,A,Z,4719.147707975935,895,2,0.00013615
16536,char,1,B,B,4708.817208011169,870,2,0.0001324
16717,label,1,D,D,4797.212249977747,1224,2,0.0001855
16716,label,1,C,C,4805.868124996778,724,2,0.0001105
16718,label,1,A,A,4797.593084018445,796,2,0.0001213
16562,char,1,D,B,4800.663417001488,1726,2,0.00026079999999999994
17689,numeric,1,C,C,4812.809333001496,934,2,0.000142
17690,numeric,1,D,C,4804.832124995301,1194,2,0.000181
16552,char,1,C,C,4810.6320000078995,1028,2,0.0001561
17695,numeric,1,B,B,4690.096375008579,818,2,0.0001246
16638,char,1,C,C,4682.959416008089,986,2,0.0001498
16719,label,1,B,B,4694.091332989046,618,2,9.460000000000001e-05
17696,numeric,1,C,C,4686.146916996222,754,2,0.000115
16606,char,1,B,B,4688.425166998059,914,2,0.000139
17697,numeric,1,D,B,4682.827915996313,491,2,7.555e-05
16720,label,1,C,A,4685.654749977402,975,2,0.00014815
17692,numeric,1,A,A,5911.06391599169,836,2,0.0001273
16563,char,1,A,C,5909.298209007829,825,2,0.00012565000000000002
16721,label,1,D,D,4683.41620801948,1196,2,0.00018130000000000002
16663,char,1,A,B,4679.091290978249,875,2,0.00013315
17417,label,1,C,D,4675.521999975899,940,2,0.0001429
17701,numeric,1,C,C,4680.725625017658,799,2,0.00012175
16650,char,1,D,D,4690.694166987669,1216,2,0.0001843
16722,label,1,A,B,4687.502499989932,850,2,0.0001294
17699,numeric,1,B,B,4684.913000004599,878,2,0.0001336
16670,char,1,B,B,4682.8879170061555,1021,2,0.00015505
17698,numeric,1,A,B,4689.858790981816,622,2,9.52e-05
17412,label,1,B,C,4684.51758302399,744,2,0.0001135
16676,char,1,C,B,4788.112374983029,648,2,9.910000000000001e-05
16683,char,1,D,B,4784.252499986906,1525,2,0.00023065
17702,numeric,1,D,D,4795.846458000597,961,2,0.00014605
17423,label,1,B,B,4791.389417019673,891,2,0.00013555000000000002
17422,label,1,A,A,4794.631666998612,1092,2,0.0001657
17419,label,1,D,C,4796.934916987084,1068,2,0.00016209999999999998
17703,numeric,1,A,A,4795.85245900671,1012,2,0.0001537
16695,char,1,C,C,4594.755708007142,744,2,0.0001135
17705,numeric,1,C,C,4605.688957992243,928,2,0.0001411
17425,label,1,C,D,4602.042749989778,898,2,0.00013659999999999999
16691,char,1,B,B,4607.824249978876,1204,2,0.0001825
16697,char,1,D,D,4598.174792015925,645,2,9.865e-05
17706,numeric,1,D,D,4600.606041989522,736,2,0.00011229999999999999
17448,label,1,D,C,4600.460999994539,601,2,9.205e-05
17704,numeric,1,B,B,5925.467458000639,1103,2,0.00016735
16689,char,1,A,A,5926.713875000132,767,2,0.00011695
17707,numeric,1,A,C,4622.058790992014,1168,2,0.0001771
17712,numeric,1,D,B,4592.0789999945555,867,2,0.00013194999999999998
16698,char,1,A,A,4613.266750006005,575,2,8.815e-05
17478,label,1,B,B,4612.17912498978,583,2,8.935e-05
17452,label,1,A,D,4614.94404199766,882,2,0.00013419999999999998
16699,char,1,B,B,4610.758084018016,1141,2,0.00017305
16700,char,1,C,C,4599.40754098352,896,2,0.0001363
17709,numeric,1,B,B,4614.336875005392,922,2,0.0001402
17711,numeric,1,C,C,4607.00208300841,925,2,0.00014065
17492,label,1,D,B,4484.80804200517,936,2,0.00014230000000000002
16702,char,1,A,A,4478.3627500000875,680,2,0.0001039
17713,numeric,1,A,A,4543.888334010262,623,2,9.535000000000001e-05
16701,char,1,D,D,4548.0924580188,729,2,0.00011125
18276,numeric,1,C,C,4537.174500001129,805,2,0.00012265
17543,label,1,B,B,4539.168832998257,830,2,0.0001264
16703,char,1,B,B,4538.586207985645,825,2,0.00012565000000000002
17514,label,1,A,A,4544.532583007822,808,2,0.00012309999999999998
17490,label,1,C,C,5653.588334011147,886,2,0.00013480000000000002
18243,numeric,1,B,D,4543.260582984658,993,2,0.00015085
18277,numeric,1,D,D,4497.164667001925,836,2,0.0001273
17545,label,1,C,A,4520.025959005579,783,2,0.00011935
18278,numeric,1,A,A,4493.8274580053985,690,2,0.0001054
16705,char,1,D,D,4496.774041996105,799,2,0.00012175
17567,label,1,D,B,4499.337000015657,985,2,0.00014965
17598,label,1,A,C,4494.85795898363,696,2,0.0001063
16704,char,1,C,C,4520.269417000236,1062,2,0.0001612
16706,char,1,A,A,4623.015084012877,863,2,0.00013135
18280,numeric,1,C,C,4611.264584003948,614,2,9.4e-05
17601,label,1,B,B,4619.608457986033,1125,2,0.00017065
18279,numeric,1,B,B,4622.281166986795,903,2,0.00013735
17626,label,1,C,C,4616.411541006528,1119,2,0.00016975
17633,label,1,D,Z,4613.7042499904055,759,2,0.00011575
19207,numeric,1,D,C,4615.401457995176,715,2,0.00010915000000000001
16707,char,1,B,B,4620.883750001667,1675,2,0.00025315
16709,char,1,D,D,4725.921792007284,1347,2,0.00020395
17685,label,1,C,C,4713.208041997859,1193,2,0.00018085
16710,char,1,A,A,4725.134042004356,1017,2,0.00015445
17655,label,1,B,B,4723.404791991925,870,2,0.0001324
17637,label,1,A,B,4727.195540996036,733,2,0.00011185000000000001
16711,char,1,B,B,4722.577291016933,1048,2,0.0001591
19247,numeric,1,A,A,4732.575874979375,716,2,0.0001093
16708,char,1,C,C,5849.404833978042,994,2,0.000151
19248,numeric,1,B,B,4727.413124986924,585,2,8.965000000000001e-05
16712,char,1,C,C,4869.628042011755,775,2,0.00011815000000000001
19552,numeric,1,B,B,4858.998874988174,755,2,0.00011515000000000001
17686,label,1,D,D,4869.083459023386,772,2,0.0001177
16715,char,1,B,B,4858.364207990235,629,2,9.625e-05
16714,char,1,A,A,4861.266041989438,1141,2,0.00017305
19250,numeric,1,D,D,4875.721791002434,976,2,0.0001483
16713,char,1,D,D,4868.020709021948,750,2,0.0001144
17687,label,1,A,Z,4863.881208002567,893,2,0.00013585
19249,numeric,1,C,B,5915.882082976168,1016,2,0.0001543
16717,char,1,D,D,4701.108375011245,1594,2,0.000241
19553,numeric,1,C,C,4713.947042007931,996,2,0.00015130000000000002
19554,numeric,1,D,D,4709.276167006465,627,2,9.595e-05
16716,char,1,C,C,4711.278083996149,724,2,0.0001105
19539,numeric,1,A,A,5912.335166009143,1014,2,0.000154
17689,label,1,C,C,4714.547833020333,934,2,0.000142
17690,label,1,D,C,4710.103082994465,1187,2,0.00017994999999999998
17688,label,1,B,B,5909.633333998499,529,2,8.125e-05
20584,numeric,1,A,D,4708.87295898865,746,2,0.0001138
17692,label,1,A,A,4795.6302920065355,834,2,0.000127
20590,numeric,1,B,B,4789.677207998466,698,2,0.0001066
16718,char,1,A,A,4800.9965420060325,796,2,0.0001213
17696,label,1,C,C,4790.46979197301,754,2,0.000115
17695,label,1,B,B,4794.718999997713,816,2,0.00012429999999999999
16719,char,1,B,B,4793.8786250015255,618,2,9.460000000000001e-05
20591,numeric,1,C,C,4793.259833008051,779,2,0.00011875
16720,char,1,C,C,4791.636667010607,1365,2,0.00020665
20592,numeric,1,D,D,4894.043957989197,1144,2,0.0001735
17412,char,1,B,C,4879.949958994985,744,2,0.0001135
20593,numeric,1,A,A,4891.0198750090785,1005,2,0.00015265
16722,char,1,A,B,4888.8958749885205,850,2,0.0001294
16721,char,1,D,D,4893.743166991044,1196,2,0.00018130000000000002
20612,numeric,1,B,B,4888.791000004858,887,2,0.00013495
17699,label,1,B,B,4888.233167002909,878,2,0.0001336
17697,label,1,D,B,4900.991583010182,489,2,7.525e-05
17698,label,1,A,B,4892.7473750081845,620,2,9.49e-05
20613,numeric,1,C,C,4724.140541016823,798,2,0.00012159999999999999
20873,numeric,1,D,D,4717.999541986501,582,2,8.92e-05
17701,label,1,C,C,4722.1789580071345,799,2,0.00012175
17422,char,1,A,A,4713.376166997477,1092,2,0.0001657
17419,char,1,D,C,4717.484041990247,1068,2,0.00016209999999999998
17703,label,1,A,A,4715.992624987848,997,2,0.00015145
17417,char,1,C,C,4723.247832997004,1311,2,0.00019855
17702,label,1,D,D,4721.148959011771,959,2,0.00014575
17448,char,1,D,C,4789.145374990767,601,2,9.205e-05
20900,numeric,1,B,B,4804.6034580038395,723,2,0.00011035000000000001
17423,char,1,B,B,4798.293500003638,891,2,0.00013555000000000002
17706,label,1,D,D,4799.295458011329,733,2,0.00011185000000000001
21581,numeric,1,D,D,4800.991666998016,758,2,0.0001156
17425,char,1,C,D,4803.137624985538,898,2,0.00013659999999999999
17705,label,1,C,A,4804.991542012431,924,2,0.0001405
20899,numeric,1,A,A,5849.081499996828,1077,2,0.00016345
17704,label,1,B,B,4814.599499979522,1095,2,0.00016615
20901,numeric,1,C,C,4808.001291996334,777,2,0.00011845
17709,label,1,B,B,4594.109583995305,922,2,0.0001402
21582,numeric,1,A,D,4611.603792000096,724,2,0.0001105
17452,char,1,A,D,4605.177791992901,882,2,0.00013419999999999998
17707,label,1,A,C,4611.026750004385,1158,2,0.00017559999999999999
17711,label,1,C,C,4597.1327500010375,920,2,0.0001399
21583,numeric,1,B,B,4604.629165987717,776,2,0.0001183
17478,char,1,B,B,4602.441041992279,583,2,8.935e-05
21584,numeric,1,C,C,4601.957458013203,1027,2,0.00015595
17490,char,1,C,C,4333.823334018234,886,2,0.00013480000000000002
18243,label,1,B,D,4319.127499999013,991,2,0.00015055
17492,char,1,D,B,4330.117500008782,936,2,0.00014230000000000002
17713,label,1,A,A,4327.75858300738,621,2,9.504999999999999e-05
17712,label,1,D,B,4332.864249998238,855,2,0.00013015
21585,numeric,1,D,D,4339.043542015133,674,2,0.000103
17514,char,1,A,A,4327.966125012608,808,2,0.00012309999999999998
22608,numeric,1,B,B,4327.35683399369,859,2,0.00013075
22600,numeric,1,A,B,4331.874791998416,1124,2,0.0001705
17543,char,1,B,B,4506.437791977078,830,2,0.0001264
17567,char,1,D,C,4490.3954999754205,985,2,0.00014965
22610,numeric,1,C,B,4504.752125008963,723,2,0.00011035000000000001
17545,char,1,C,C,4501.21166597819,783,2,0.00011935
22620,numeric,1,D,B,4499.896374996752,1133,2,0.00017185
18277,label,1,D,D,4499.166207999224,834,2,0.000127
18276,label,1,C,C,4504.568500007736,803,2,0.00012235
22628,numeric,1,A,A,4497.543374978704,837,2,0.00012745
22645,numeric,1,D,D,4408.641375019215,921,2,0.00014005000000000002
18278,label,1,A,A,4425.807292020181,686,2,0.0001048
18280,label,1,C,C,4416.325833008159,610,2,9.340000000000001e-05
17626,char,1,C,C,4415.62829198665,1119,2,0.00016975
22630,numeric,1,C,C,4418.441124988021,708,2,0.00010810000000000001
17601,char,1,B,B,4420.434582978487,1553,2,0.00023485
17598,char,1,A,C,4429.938292014413,696,2,0.0001063
22629,numeric,1,B,B,4429.294750007102,801,2,0.00012205
18279,label,1,B,A,4423.751667025499,901,2,0.00013705000000000002
17633,char,1,D,C,4502.055874996586,759,2,0.00011575
22675,numeric,1,C,C,4491.772417008178,941,2,0.00014305
22657,numeric,1,A,B,4500.2319579944015,584,2,8.95e-05
19248,label,1,B,A,4494.93524999707,585,2,8.965000000000001e-05
19247,label,1,A,A,4499.173457996221,710,2,0.0001084
17637,char,1,A,B,4498.295457975473,733,2,0.00011185000000000001
22661,numeric,1,B,C,4497.588375001214,777,2,0.00011845
19207,label,1,D,C,5618.847791978624,713,2,0.00010885
17655,char,1,B,B,4496.545292000519,870,2,0.0001324
19249,label,1,C,B,4466.856875020312,1014,2,0.000154
22704,numeric,1,B,B,4456.508041010238,798,2,0.00012159999999999999
19250,label,1,D,D,4462.047417007852,968,2,0.0001471
22678,numeric,1,A,B,4460.2388750063255,735,2,0.00011215
22676,numeric,1,D,B,4464.678457996342,570,2,8.740000000000001e-05
17687,char,1,A,Z,4459.44962502108,893,2,0.00013585
19539,label,1,A,A,4460.893042007228,1012,2,0.0001537
17685,char,1,C,C,4482.072709011845,1193,2,0.00018085
17686,char,1,D,D,4474.361541011604,772,2,0.0001177
19552,label,1,B,B,4399.899459007429,751,2,0.00011454999999999999
17690,char,1,D,C,4386.261041974649,1187,2,0.00017994999999999998
22705,numeric,1,C,C,4398.379709018627,719,2,0.00010975
17689,char,1,C,C,4395.69833301357,934,2,0.000142
19554,label,1,D,D,4393.481624982087,625,2,9.565000000000001e-05
22706,numeric,1,D,D,4395.084292016691,628,2,9.61e-05
19553,label,1,C,C,4398.374917014735,990,2,0.0001504
17688,char,1,B,B,4406.34308301378,529,2,8.125e-05
17696,char,1,C,C,4567.958166997414,754,2,0.000115
22707,numeric,1,A,A,4587.768750003306,926,2,0.0001408
17692,char,1,A,A,4581.711082981201,834,2,0.000127
20591,label,1,C,A,4575.8097500074655,767,2,0.00011695
20590,label,1,B,B,4579.593916016165,696,2,0.0001063
17695,char,1,B,B,4578.903708985308,816,2,0.00012429999999999999
20584,label,1,A,D,4588.89574999921,744,2,0.0001135
22708,numeric,1,B,B,4582.6108749897685,695,2,0.00010615
22709,numeric,1,C,C,4579.60633301991,932,2,0.0001417
22710,numeric,1,D,D,4460.269041010179,999,2,0.00015175
20593,label,1,A,A,4449.974417017074,1003,2,0.00015235
17697,char,1,D,B,4453.892874997109,489,2,7.525e-05
20592,label,1,D,D,4457.016625005053,1138,2,0.0001726
17698,char,1,A,B,4458.66712499992,620,2,9.49e-05
17699,char,1,B,B,4455.862625007285,878,2,0.0001336
20612,label,1,B,B,4457.3692079866305,885,2,0.00013465
22712,numeric,1,B,B,4458.905500010587,512,2,7.87e-05
22711,numeric,1,A,A,4463.447957998142,851,2,0.00012954999999999998
22713,numeric,1,C,A,4608.593374985503,818,2,0.0001246
20899,label,1,A,A,4593.382999999449,1071,2,0.00016255000000000002
17701,char,1,C,C,4607.253915979527,799,2,0.00012175
20873,label,1,D,D,4605.114959005732,582,2,8.92e-05
20613,label,1,C,C,4610.647459019674,798,2,0.00012159999999999999
17702,char,1,D,D,4605.1202500239015,959,2,0.00014575
22715,numeric,1,A,A,4604.537125007482,1146,2,0.00017380000000000002
17703,char,1,A,A,4600.913832982769,997,2,0.00015145
22714,numeric,1,D,D,4609.31862500729,858,2,0.0001306
22716,numeric,1,B,B,4709.906584001146,834,2,0.000127
21581,label,1,D,D,4697.565667011077,756,2,0.0001153
17704,char,1,B,B,4704.9304580141325,1095,2,0.00016615
20901,label,1,C,C,4708.646624989342,777,2,0.00011845
22718,numeric,1,D,D,4706.578042008914,902,2,0.0001372
17705,char,1,C,C,4708.265083987499,924,2,0.0001405
22717,numeric,1,C,C,4711.841999989701,789,2,0.00012025
20900,label,1,B,B,4719.025917002,723,2,0.00011035000000000001
17706,char,1,D,D,4706.252000003587,733,2,0.00011185000000000001
22719,numeric,1,A,A,4704.768708994379,916,2,0.0001393
22721,numeric,1,C,C,4697.281832981389,798,2,0.00012159999999999999
21584,label,1,C,C,4696.725540998159,1027,2,0.00015595
17707,char,1,A,C,4703.024124988588,1158,2,0.00017559999999999999
21583,label,1,B,B,4701.425250008469,774,2,0.000118
21582,label,1,A,D,4705.746416992042,724,2,0.0001105
17709,char,1,B,B,4701.565124996705,922,2,0.0001402
22720,numeric,1,B,C,4704.3576250143815,748,2,0.00011410000000000001
22723,numeric,1,A,A,4635.220625001239,1004,2,0.0001525
22600,label,1,A,B,4638.654209004017,1120,2,0.0001699
17711,char,1,C,C,4652.027166011976,1311,2,0.00019855
22722,numeric,1,D,D,4649.891042005038,744,2,0.0001135
22724,numeric,1,B,B,4637.747000000672,790,2,0.0001204
17712,char,1,D,B,4649.5050410158,855,2,0.00013015
21585,label,1,D,A,4652.957874990534,672,2,0.0001027
22608,label,1,B,A,4641.599374997895,859,2,0.00013075
18243,char,1,B,D,4502.669332985533,991,2,0.00015055
22628,label,1,A,A,4487.466207996476,833,2,0.00012685
18276,char,1,C,C,4499.478249985259,803,2,0.00012235
22620,label,1,D,B,4497.452459007036,1119,2,0.00016975
18277,char,1,D,D,4496.852624986786,834,2,0.000127
22610,label,1,C,B,4503.287999978056,723,2,0.00011035000000000001
22725,numeric,1,C,C,4510.078791005071,561,2,8.604999999999999e-05
22727,numeric,1,A,A,4497.501542005921,694,2,0.000106
17713,char,1,A,A,5665.947333996883,900,2,0.0001369
22726,numeric,1,D,Z,4502.661209000507,941,2,0.00014305
18279,char,1,B,B,4259.184458001982,901,2,0.00013705000000000002
18280,char,1,C,C,4255.168083996978,610,2,9.340000000000001e-05
18278,char,1,A,A,4272.8211670182645,686,2,0.0001048
23140,numeric,1,D,C,4259.608916996513,831,2,0.00012654999999999999
22768,numeric,1,C,C,4264.090040989686,645,2,9.865e-05
22630,label,1,C,C,4263.118958013365,708,2,0.00010810000000000001
22729,numeric,1,B,B,4273.353916010819,776,2,0.0001183
22629,label,1,B,A,4272.636250010692,795,2,0.00012115
19207,char,1,D,C,4149.756457976764,713,2,0.00010885
22645,label,1,D,B,4157.834750018083,917,2,0.00013945
19248,char,1,B,B,4147.0260829955805,585,2,8.965000000000001e-05
23188,numeric,1,C,C,4146.372249990236,1063,2,0.00016135
22657,label,1,A,B,4152.5846250006,580,2,8.89e-05
23151,numeric,1,B,B,4150.736333016539,689,2,0.00010525
23150,numeric,1,A,B,4155.456957989372,925,2,0.00014065
19247,char,1,A,A,4153.00187500543,710,2,0.0001084
22661,label,1,B,C,4151.612583984388,775,2,0.00011815000000000001
22675,label,1,C,C,4296.836084016832,941,2,0.00014305
19539,char,1,A,A,4277.603958005784,1012,2,0.0001537
23189,numeric,1,D,D,4283.673958008876,639,2,9.775e-05
19249,char,1,C,B,4287.304583005607,1423,2,0.00021535
23190,numeric,1,A,A,4281.194415991195,639,2,9.775e-05
22676,label,1,D,B,4283.863000018755,570,2,8.740000000000001e-05
19250,char,1,D,D,4283.5634170041885,968,2,0.0001471
22678,label,1,A,B,4282.150625018403,735,2,0.00011215
23191,numeric,1,B,B,4399.25183300511,757,2,0.00011545
22704,label,1,B,B,4398.189250001451,798,2,0.00012159999999999999
23192,numeric,1,C,C,4393.655250023585,770,2,0.00011740000000000001
19553,char,1,C,C,4391.142875014339,990,2,0.0001504
19552,char,1,B,B,4396.476583002368,751,2,0.00011454999999999999
23299,numeric,1,D,Z,4390.852417011047,963,2,0.00014635
22705,label,1,C,C,4394.087499997113,715,2,0.00010915000000000001
19554,char,1,D,D,4389.510458015138,625,2,9.565000000000001e-05
23353,numeric,1,A,A,4388.887915993109,805,2,0.00012265
22706,label,1,D,D,4391.746916982811,626,2,9.58e-05
22707,label,1,A,A,4490.995750005823,924,2,0.0001405
20591,char,1,C,C,4478.153041010955,767,2,0.00011695
23388,numeric,1,B,C,4490.410375001375,976,2,0.0001483
20590,char,1,B,B,4487.758332979865,696,2,0.0001063
23390,numeric,1,C,C,4486.83587499545,838,2,0.00012759999999999998
22709,label,1,C,A,4486.276749987155,930,2,0.0001414
22708,label,1,B,B,4490.736084000673,689,2,0.00010525
20584,char,1,A,D,4498.43958299607,744,2,0.0001135
20612,char,1,B,B,4458.324250008445,885,2,0.00013465
23391,numeric,1,D,Z,4474.38308398705,976,2,0.0001483
20592,char,1,D,D,4472.775458008982,1138,2,0.0001726
22712,label,1,B,B,4466.253457998391,512,2,7.87e-05
20593,char,1,A,A,4469.057167007122,1003,2,0.00015235
22711,label,1,A,A,4470.87858300074,847,2,0.00012895
22710,label,1,D,D,4480.884207994677,999,2,0.00015175
23392,numeric,1,A,A,4473.3178750029765,1028,2,0.0001561
23395,numeric,1,C,C,4555.132457986474,525,2,8.065000000000001e-05
22713,label,1,C,A,4548.7806249875575,818,2,0.0001246
22715,label,1,A,A,4541.3494579843245,1146,2,0.00017380000000000002
20613,char,1,C,C,4547.748582990607,798,2,0.00012159999999999999
20873,char,1,D,D,4550.718791986583,758,2,0.0001156
23396,numeric,1,D,D,4553.696207993198,417,2,6.445000000000001e-05
22714,label,1,D,A,4553.119040996535,852,2,0.00012969999999999998
23509,numeric,1,A,C,4551.376791991061,696,2,0.0001063
23394,numeric,1,B,B,5715.09091698681,975,2,0.00014815
20899,char,1,A,A,4481.80316601065,1071,2,0.00016255000000000002
23518,numeric,1,B,B,4481.082124984823,1249,2,0.00018925
20900,char,1,B,B,4480.118666979251,723,2,0.00011035000000000001
22717,label,1,C,C,4478.414459008491,789,2,0.00012025
22716,label,1,B,B,4482.6962079969235,832,2,0.0001267
20901,char,1,C,C,4478.42629099614,777,2,0.00011845
21581,char,1,D,D,4476.232917018933,756,2,0.0001153
23519,numeric,1,C,C,4481.439041002886,761,2,0.00011605
23994,numeric,1,D,D,4479.230750002898,1043,2,0.00015835
25225,numeric,1,A,A,4645.005875005154,978,2,0.0001486
22721,label,1,C,C,4634.998958004871,798,2,0.00012159999999999999
21582,char,1,A,D,4642.217082990101,724,2,0.0001105
22720,label,1,B,C,4639.022541989107,746,2,0.0001138
25272,numeric,1,C,C,4636.762041016482,703,2,0.00010735000000000001
21583,char,1,B,B,4638.253292010631,774,2,0.000118
25263,numeric,1,B,A,4641.070791025413,959,2,0.00014575
22718,label,1,D,A,5724.1438329801895,898,2,0.00013659999999999999
22719,label,1,A,A,4649.154749989975,914,2,0.000139
21584,char,1,C,C,4785.657000000356,1027,2,0.00015595
22600,char,1,A,B,4773.680207988946,1120,2,0.0001699
22723,label,1,A,A,4775.421792000998,996,2,0.00015130000000000002
25282,numeric,1,B,B,4783.405124995625,680,2,0.0001039
22722,label,1,D,D,4790.73670800426,742,2,0.0001132
25280,numeric,1,A,A,4788.198166002985,759,2,0.00011575
